HH_ID,FOOD_PRE,FOOD_VFM,FOOD_ECO,CLEANO_PRE,CLEANO_VFM,CLEANO_ECO,PC_PRE,PC_VFM,PC_ECO,FOOD_TOT,CLEANO_TOT,PC_TOT,TOTAL
39,1619181.952,2794032.823,922465.849,290812.12,642050.49,121073.23,357672.466,607184.59,238730.74,5335680.623,1053935.84,1203587.796,7593204.259
40,838549.9734,3189672.785,1065824.058,88776.1,140225.8,148532.75,58719.07,327529.65,154098.535,5094046.815,377534.65,540347.255,6011928.72
41,259859.8152,779773.7698,830251.4785,3144,38077.91,0,5288.95,27895.92,75313.75,1869885.064,41221.91,108498.62,2019605.594
42,984431.599,1758513.155,441376.8205,168404.8,9702.05,6574.65,88347.54,47277.79,33840.44,3184321.574,184681.5,169465.77,3538468.844
43,2713551.199,3682493.857,967920.8749,166392.25,142555.55,12951,195637.56,64738.55,70601.75,7363965.93,321898.8,330977.86,8016842.59
44,2171082.726,1986218.313,697969.5536,69415.8,147119.79,16170.94,97813.88,230728.58,68509.16,4855270.592,232706.53,397051.62,5485028.742
45,1175184.319,2259854.83,941723.6405,2362.5,62187.58,98367.67,3324.65,123399.94,144896.4758,4376762.79,162917.75,271621.0658,4811301.606
46,746206.3855,706099.4389,498481.5337,31153.97,28917.95,2315.2,91585.73,74273.41,26207.77,1950787.358,62387.12,192066.91,2205241.388
47,4668065.03,5357621.571,1760917.848,217733.9,317370.76,201000.5,357178.55,853248.68,156745.7,11786604.45,736105.16,1367172.93,13889882.54
48,953176.2464,3482063.034,1998699.414,88977.47,153312.64,178786.31,53997,46010.45,53282.5,6433938.695,421076.42,153289.95,7008305.065
49,4463542.123,5963111.058,1402794.658,281285.2,663003.2,218043.74,414099.35,617360.35,137225.24,11829447.84,1162332.14,1168684.94,14160464.92
50,1752362.654,2046239.998,732101.8851,56162.3,98657.63,69032.92,121896.53,486761.78,172974.66,4530704.536,223852.85,781632.97,5536190.356
51,857116.7113,1361174.714,497009.3473,32146.87,37014.45,40808.9,56726.15,145336.75,182178.03,2715300.773,109970.22,384240.93,3209511.923
52,4996370.683,9360807.378,2629534.376,98405,885987.61,605281.45,582344.15,874154.79,668481.47,16986712.44,1589674.06,2124980.41,20701366.91
53,2219801.894,2295867.564,596447.3386,219962.94,460073.029,79958.85,137641.95,341881.13,221925.24,5112116.796,759994.819,701448.32,6573559.935
54,642322.7887,1132023.714,174230.2542,96148.76,79685.93,9571.45,53334.08,115601.41,12883.85,1948576.757,185406.14,181819.34,2315802.237
55,662951.6274,1645801.212,1594677.379,32925.87,139641.35,95863.95,34713.95,74055.16,83378.92,3903430.218,268431.17,192148.03,4364009.418
